complaint,actual_category,predicted_category,correct,priority,matched_keywords
The online quiz didn't accept my submission even though I finished with time to spare,Academic,Academic,True,Medium,"{'category_keywords': ['submission'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Nobody has explained how the grading for the group presentation will work,Academic,Academic,True,Medium,"{'category_keywords': ['grading'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
One of my lecturers dismisses questions instead of answering them,Faculty,Faculty,True,Medium,"{'category_keywords': ['lecturer'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
"A teacher gave our whole batch a lower grade after one student complained, which feels unfair",Faculty,Faculty,True,Medium,"{'category_keywords': ['teacher'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Our guide keeps postponing project review meetings without any notice,Faculty,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
A lecturer made a comment mocking a student's accent in front of the class,Faculty,Faculty,True,Medium,"{'category_keywords': ['lecturer'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The same instructor has not returned graded papers from over a month ago,Faculty,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
There were ants all over the serving counter at lunch today,Canteen,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The juice being sold at the counter tasted off and slightly sour,Canteen,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Prices at the food counter went up without any notice being put up,Canteen,Canteen,True,Medium,"{'category_keywords': ['food'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The same three items have been on the menu for the entire month,Canteen,Canteen,True,Medium,"{'category_keywords': ['menu'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
I found a plastic wrapper mixed into my rice,Canteen,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
My name is still missing from the official convocation list,Administration,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
I paid the exam fee but the portal still shows it as due,Administration,Academic,False,High,"{'category_keywords': ['exam', 'portal'], 'priority_keywords': ['exam'], 'location_confidence': 'none', 'location_matched': []}"
Nobody at the front desk could tell me the status of my transfer request,Administration,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
The signature required on my internship letter hasn't been provided in three visits,Administration,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
My hostel allotment letter has the wrong room number printed on it,Administration,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'partial', 'location_matched': ['hostel']}"
A senior corners me every day after class and makes comments that scare me,Safety,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Someone has been messaging me from an unknown number saying they know my class schedule,Safety,Academic,False,Medium,"{'category_keywords': ['schedule'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
A group of students surrounded me and wouldn't let me leave until I agreed to something,Safety,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
I was shoved into a wall by another student and no one stepped in,Safety,Infrastructure,False,Medium,"{'category_keywords': ['wall'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
My roommate reads my messages without asking and then brings them up to embarrass me,Student-related,Student-related,True,Medium,"{'category_keywords': ['roommate'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
A group in my class talks about me loudly enough that I can hear it,Student-related,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
My lab partner takes credit for work I did alone,Student-related,Infrastructure,False,Medium,"{'category_keywords': ['lab'], 'priority_keywords': [], 'location_confidence': 'partial', 'location_matched': ['lab']}"
Two students in my hostel wing keep playing loud music past midnight despite requests to stop,Student-related,Other,False,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'partial', 'location_matched': ['hostel']}"
Is there a way to know which club room is free this afternoon?,Other,Other,True,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
What's the procedure if I want to change my elective next semester?,Other,Academic,False,Medium,"{'category_keywords': ['semester'], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
Can someone tell me where the nearest printing shop outside campus is?,Other,Other,True,Medium,"{'category_keywords': [], 'priority_keywords': [], 'location_confidence': 'none', 'location_matched': []}"
